,Price_Point,Mean_PE,PE_Segment_0,PE_Segment_1,PE_Segment_2,PE_Segment_3,Elasticity_Promotion_1,Elasticity_Promotion_0
38,0.8800000000000003,-0.3702417958050706,-0.21215552631278115,-0.3597401232037265,-0.5418628201937088,-0.4615723313917119,-0.3458805205640081,-0.5061496065986321
39,0.8900000000000003,-0.3817210701435241,-0.22189407444438164,-0.3686336236307692,-0.5529181588097135,-0.4709895459138117,-0.35367570520382896,-0.516612610910766
40,0.9000000000000004,-0.39347417955625386,-0.2320309459629772,-0.37767881497462547,-0.5640967398173706,-0.4805117413940458,-0.36158515803500363,-0.527197379872813
41,0.9100000000000004,-0.4055052106153759,-0.24258002478878032,-0.3868770062821022,-0.5753984824338045,-0.49013884901953586,-0.3696096371567352,-0.5379039817541962
42,0.9200000000000004,-0.417818216623755,-0.25355552719889424,-0.39622948410143227,-0.5868232773772958,-0.49987077570137456,-0.3777498853596428,-0.5487324579884484
43,0.9300000000000004,-0.4304172129735822,-0.26497199876356525,-0.4057375114124723,-0.5983709867740749,-0.5097074039952293,-0.3860066296156726,-0.5596828229843758
44,0.9400000000000004,-0.4433061723948304,-0.2768443102441735,-0.4154023265531363,-0.6100414440839451,-0.5196485920379862,-0.39438058056929987,-0.5707550639536437
45,0.9500000000000004,-0.45648902009849956,-0.28918765238220645,-0.4252251421431926,-0.6218344540449287,-0.5296941735005988,-0.40287243203049,-0.5819491407550866
46,0.9600000000000004,-0.4699696288200704,-0.30201752950714866,-0.43520714400657623,-0.6337497926371186,-0.5398439575572952,-0.41148286046989774,-0.5932649857560326
47,0.9700000000000004,-0.4837518137691035,-0.31534975189010944,-0.44534949009342906,-0.6457872070658826,-0.5500977288712721,-0.4202125245167838,-0.6047025037109054
48,0.9800000000000004,-0.49783932749142806,-0.3292004267693216,-0.4556533094030784,-0.6579464157645518,-0.5604552475969835,-0.42906206446014467,-0.6162615716573557
49,0.9900000000000004,-0.5122358546508956,-0.34358594797329073,-0.46611970090923005,-0.6702271084166966,-0.5709162493991169,-0.43803210175354873,-0.6279420388301499
50,1.0000000000000004,-0.5269450067382088,-0.3585229840674935,-0.47674973248865454,-0.6826289459980699,-0.5814804454883218,-0.44712323852418673,-0.639743726593021
51,1.0100000000000005,-0.5419703167148271,-0.37402846495110526,-0.4875444398546918,-0.6951515608382733,-0.5921475226737372,-0.45633605708663944,-0.6516664283886762
52,1.0200000000000005,-0.5573152336005155,-0.39011956683136984,-0.4985048254969138,-0.7077945567021766,-0.6029171434323479,-0.46567111946188144,-0.6637099097071197
53,1.0300000000000005,-0.572983117013586,-0.4068136955049519,-0.509631857628318,-0.7205575088910925,-0.6137889459951681,-0.4751289669020328,-0.6758739080724386
54,1.0400000000000005,-0.5889772316734011,-0.42412846787797026,-0.5209264691414405,-0.7334399643636916,-0.624762544450238,-0.4847101194213837,-0.6881581330481755
55,1.0500000000000005,-0.605300741875218,-0.4420816916594763,-0.532389556574801,-0.7464414418766053,-0.6358375288623944,-0.4944150753342096,-0.7005622662613811
56,1.0600000000000005,-0.62195670594791,-0.46069134316696586,-0.5440219790911096,-0.7595614321446483,-0.6470134654097522,-0.5042443107999065,-0.7130859614454336
57,1.0700000000000005,-0.6389480707056105,-0.47997554318711577,-0.5558245574686773,-0.7727993980205635,-0.6582898965368145,-0.5141982793759674,-0.7257288445016644
58,1.0800000000000005,-0.6562776659047318,-0.49995253084042207,-0.5677980731074946,-0.7861547746941661,-0.6696663411241095,-0.5242774115793284,-0.7384905135798339
59,1.0900000000000005,-0.6739481987182718,-0.5206406354047802,-0.5799432670514363,-0.799626969910737,-0.6811422946742239,-0.5344821144566053,-0.7513705391774526
60,1.1000000000000005,-0.6919622482397123,-0.5420582460603592,-0.5922608390280786,-0.8132153642084977,-0.6927172295140881,-0.5448127711637504,-0.7643684642579379
61,1.1100000000000005,-0.7103222600291889,-0.5642237795264121,-0.6047514465076008,-0.826919311174959,-0.7043905950133424,-0.5552697405556435,-0.7774838043875585
62,1.1200000000000006,-0.7290305407149523,-0.587155645569979,-0.6174157037822581,-0.8407381377219342,-0.7161618178185994,-0.5658533567861401,-0.7907160478911079
63,1.1300000000000006,-0.7480892526634678,-0.610872210376762,-0.6302541810679068,-0.854671144378955,-0.7280303021033826,-0.576563928919086,-0.8040646560262112
64,1.1400000000000006,-0.7675004087317524,-0.6353917577858462,-0.6432674036290568,-0.8687176056048296,-0.7399954298335201,-0.5874017405508133,-0.8175290631761567
65,1.1500000000000006,-0.7872658671157964,-0.6607324484023882,-0.6564558509289207,-0.8828767701170459,-0.752056561047738,-0.5983670494446136,-0.8311086770611136
66,1.1600000000000006,-0.8073873263090987,-0.6869122766158727,-0.6698199558059225,-0.8971478612386958,-0.7642130341531795,-0.6094600871776887,-0.8448028789675756
67,1.1700000000000006,-0.8278663201855073,-0.7139490255660814,-0.6833601036781056,-0.9115300772625907,-0.7764641662355675,-0.6206810588010693,-0.8586110239958464
68,1.1800000000000006,-0.8487042132206226,-0.7418602201144002,-0.6970766317768722,-0.9260225918321977,-0.7888092533836957,-0.6320301425129753,-0.8725324413253611
69,1.1900000000000006,-0.8699021958661005,-0.7706630778945938,-0.7109698284114617,-0.9406245543390155,-0.8012475710279231,-0.6435074893460965,-0.886566434497611
70,1.2000000000000006,-0.8914612800911735,-0.800374458534496,-0.7250399322655452,-0.9553350903359896,-0.8137783742923318,-0.655113222869247,-0.9007122817164221
71,1.2100000000000006,-0.9133822951056364,-0.8310108111582196,-0.7392871317273061,-0.9701533019665329,-0.8264008983601773,-0.6668474389038473,-0.9149692361653119
72,1.2200000000000006,-0.935665883278447,-0.862588120297331,-0.753711564254315,-0.9850782684087195,-0.8391143588522635,-0.6787102052556684,-0.9293365263416257
73,1.2300000000000006,-0.9583124962659005,-0.8951218503588491,-0.7683133157745079,-1.0001090463341828,-0.8519179522178444,-0.6907015614622647,-0.9438133564071396
74,1.2400000000000007,-0.9813223913631178,-0.928626888817787,-0.7830924201245084,-1.015244670381239,-0.8648108561376422,-0.7028215185565031,-0.9583989065547871
75,1.2500000000000007,-1.0046956280922708,-0.9631174883220852,-0.7980488585265193,-1.0304841536417408,-0.8777922299385615,-0.7150700588465859,-0.9730923333911522
